hypothesis,idx,label,premise
Eljvir Duka prihaja iz Turčije.,166,not_entailment,"Moški, Dritan Duka, 30, Shain Duka, 28, in Eljvir Duka, 25, vsi nezakoniti priseljenci, so bili obsojeni na dosmrtni zapor brez možnosti pogojnega izpusta. Trojica, ki se je v Cherry Hillu, N.J., ukvarjala s krovstvom, je bila med petimi na tujem rojenimi muslimani, ki so bili decembra obtoženi načrtovanja napada na bazo približno 40 milj vzhodno od Filadelfije. Napada niso nikoli izvedli. Druga dva moška, ki sta bila spoznana za krivega, Mohamad Shnewer, v Jordanu rojen taksist iz Filadelfije, in Serdar Tatar, prodajalec v trgovini iz Turčije, naj bi obsodili v sredo."
Intel se bori za ključno mesto v digitalni dnevni sobi.,167,entailment,"Mikroprocesorski velikan Intel cilja na digitalno dnevno sobo z lastnimi različicami računalnikov za domačo zabavo, oblikovanimi kot domača medijska središča."
Ameriški raketoplan Atlantis pristal na vesoljski postaji Mir.,168,not_entailment,Ameriški raketoplan Atlantis je s sedemčlansko posadko v sredo zaključil sledenje Mednarodni vesoljski postaji (ISS) in se ob 12.05 EDT (1605 GMT) povezal z orbitalno postojanko.
Kongres želi okrepiti gospodarstvo.,169,entailment,"Predsednik ZDA George W. Bush in vodstvo kongresa iz obeh političnih strank so prišli do sporazuma glede davčne olajšave v vrednosti 150 milijard ameriških dolarjev, s čimer želijo spodbuditi gospodarstvo Združenih držav. Zgodbo ima korespondent VOA za Belo hišo Scott Stearns. Sporazum vključuje določbo povrnitve do 600 US$ milijonom prejemnikov plače in dodatno povrnitev 300 US$ za vsakega otroka. Podjetjem dovoljuje, da takoj odpišejo 50 odstotkov nakupa osnovnih delovnih sredstev."
Tisoči šiitskih muslimanov so se zbrali v mestu Basra na jugu države v podporo novi iraški ustavi.,170,entailment,"Tisoči šiitov so vkorakali v mesto Basra na jugu Iraka, da bi podprli novo ustavo in žalovali za 1.000 romarji, ki so umrli v stampedu."
Sofijin svet je prodajna uspešnica.,171,entailment,"Ob izdaji Sofijinega sveta leta 1991 je Gaarder doživel svetovno slavo. Sofijin svet je bil tri leta najbolje prodajana knjiga na Norveškem. Medtem ko njegova prva knjiga čaka na angleški prevod, pa je Sofijin svet uspešnica tudi v Nemčiji, Franciji in Veliki Britaniji."
David Vance živi v South Portlandu.,172,entailment,"Nekdanji uslužbenec podjetja, David Vance iz South Portlanda, pravi, da je Hooper preživel veliko časa na poti in se pogosto srečeval s strankami med Portlandom in Kitteryjem."
Clintonova knjiga se dobro prodaja.,173,not_entailment,Clintonova nova knjiga se tu ne prodaja dobro.
"Bush in Putin sta se strinjala, da Iran ne bi smel imeti jedrskega orožja.",174,entailment,"V iskanju skupnih stališč med občutljivimi razlikami v mnenjih o demokraciji sta se Bush in Putin v četrtek strinjala o novih prizadevanjih, da bi jedrska orožja ne prišla v roke teroristov in suverenih držav, kakršni sta Iran in Severna Koreja."
Chirac ne želi biti ponovno izvoljen.,175,entailment,"Ne bom iskal vaših glasov za nov mandat. S temi besedami je francoski predsednik Jacques Chirac (74) med radijsko in televizijsko oddajo ob 20h UTC oznanil, da je čas, da svoji državi služi na drugačen način. O objavi so krožile številne špekulacije in ni prišla iznenada. Uradna objava omogoča kandidatu večinske stranke UMP, Nicolasu Sarkozyju, več svobode v naslednjih šestih tednih, kolikor je še do predsedniških volitev v Franciji. Čeprav Sarkozy prihaje iz iste stranke kot Chirac in upa, da bo od njega prejel podporo, predsednik še ni izrazil naklonjenosti nobenemu kandidatu, ki ga bo nasledil, in Sarkozyja v govoru nikoli ni omenil."
Grobnica Aleksandra Velikega še vedno ni odkrita.,176,not_entailment,"V tridesetih letih prejšnjega stoletja so odkrili, da so bile kraljeve grobnice v Vergini nekdanja prestolnica Egeja. Leta 1977 je Manolis Andronikos odkril kraljevo grobnico, v kateri naj bi morda ležal Filip II. Makedonski, oče Aleksandra Velikega."
Oba kandidata v Iowi izvajata velik napad.,177,not_entailment,Oba kandidata v Iowi delata velike vzpodbude.
Clark je Jonesov sorodnik.,178,not_entailment,"Avto, ki je treščil v poštni nabiralnik, je bil last 68-letnega Jamesa Clarka, znanca družine Jamesa Jonesa."
Gvatemala sprejema živalske potne liste kot potrdila o cepljenju.,179,not_entailment,"Živalski potni list bo zadoščal za vstop v VB, a za mnoge države le to ne bo dovolj. Kot skoraj vse države tudi denimo Gvatemala zahteva, da so vse uvožene živali cepljene proti steklini, a živalskega potnega lista ne sprejmejo kot potrdilo za to cepljenje."
Vlaknine izboljšujejo nadzor nad sladkorjem v krvi.,180,entailment,"Če jeste veliko hrane, ki je dober vir vlaknin, lahko zaustavite prehitro rast glukoze v krvi po prehranjevanju."
Greenpeace je podal izjavo o rumenih varnostnih jopičih..,181,not_entailment,"Dva Greenpeaceova protestnika sta vstopila na CBI-jevo konferenco v Business Design Centru v Islingtonu, London, in zadržala govor premiera Tonyja Blaira, v katerem naj bi oznanil, da razmišljajo o nadalnjih jedrskih elektrarnah, ki bi izravnale naraščajoče cene plina, s katerimi se spopada gospodarstvo v VB. Protestnika, ki sta preko poslovnih oblek nosila rumene varnostne jopiče, sta splezala na tramove v stropu, držala napise »JEDRSKA: NAPAČEN ODGOVOR« in na delegate pod njima stresla »radioaktivne konfete«. Greanpeaceovca sta zagrozila, da bosta povzročila hrup in na premiera odvrgla izstrelke, če bo ta skušal izpeljati svoj govor."
"Tako g. Schroeder kot g. Zhu imata lahko velike koristi, če maglev uspe.",182,entailment,Kitajski premier Zhu Rongji in nemški kancler Gerhard Schroeder sta včeraj odprla prvi komercialni vlak na magnetno levitacijo (maglev); obe strani bosta lahko od njegovega uspeha imeli velike koristi.
Nathan Fien prebiva v Avstraliji.,183,not_entailment,"Novozelandska ekipa rugby lige (Kiviji) je izgubila dve tekmovalni točki, sidraš Nathan Fien pa ne sme več tekmovati v Gilette Rugby League serije treh narodov. Po razkritju njegovega rojstnega lista so se pojavile obtožbe, da Fien ne bi smel nastopiti za Kivije. Na zaslišanju je Mednarodna federacija rugby lige odločila, da Fien ne sme nastopati za Kivije, ker je po poreklu iz Avstralije. V Novi Zelandiji pa ni prebivala njegova babica, tembeč njegova prababica. Predsednik Mednarodne federacije rugby lige Colin Love je izjavil, da so Kiviji menili, da so prastari starši prav tako dobri kot stari starši."
"Preiskovalci so odkrili, da so serijam nezakonitih aretacij pogosto sledila izginotja ali umori, pred njimi pa so bila mučenja.",184,entailment,"Vir je dodal, da je preiskava dokazala, da so bile podlage za genocid »dopolnjene s serijami nezakonitih aretacij, ki so jim v nekaterih primerih sledille usmrtitve ali primeri izginotja, glede na podatke, dodane dokumentu, pa so bili pred njimi primeri mučenja.«"
"Hrvat in azijski Američan Michael Chang (številka dve) se bosta pomerila in upati je, da bosta tako popularizirala igro v svojih rodnih deželah.",185,entailment,"Hrvat bo imel konkurenco, še zlasti v Američanu kitajskega porekla, Michaelu Changu, ki je na drugem mestu v turnirju. Organizatorji upajo, da bo turnir prispeval k promociji tenisa v njunih državah."
"Patricia Arquette je pobrala naziv najboljše igralke za psihološko kriminalno dramo »Medij«, James Spader pa drugo leto zapored naziv najboljšega igralca za »Zvezde na sodišču«.",186,not_entailment,"Felicity Huffman in Patricia Arquette sta prvič osvojili emmija in osvojili častni naslov glavne igralke, Tony Shalhoub in James Spader pa sta se znova izkazala v kategoriji najboljših igralcev."
James Barker je obtožen posilstva iraškega dekleta in umora njene družine.,187,entailment,"Vojak James Barker, eden štirih ameriških vojakov, obtoženih posilstva iraškega dekleta in umora njene družine marca 2006, je v sredo v Fort Cambellu, Kentucky, priznal krivdo za posilstvo in umor."
Britanija je razjezila Argentino.,188,entailment,"Odnosi med Argenitino in Britanijo so se minulega maja ponovno poslabšali, ko se je Britanija odločila razširiti teritorialne vode na 200 milj okrog otoka Južna Georgija in Južnih Sandwichevih otokov."
Pibul je bil feldmaršal.,189,entailment,"Dr. Pridi je bil prisiljen v izgnanstvo, feldmaršal Pibul pa je znova stopil na oblast."
Sears Tower ima 110 nadstropij.,190,entailment,"Dvojčka imata po 88 nadstropij, Sears Tower pa jih ima za primerjavo 110."
Legalizacija drog prinaša koristi.,191,not_entailment,"Nekatera druga nasprotovanja legalizaciji kažejo na povečano nevarnost družinskega nasilja, brezobzirne vožnje, brezobzirne vožnje podzemnih vlakov itd."
Islamsko uporniško gibanje je znano tudi kot OTN.,192,not_entailment,"OTN profilira Hamas (Islamsko uporniško gibanje), ki je palestinska islamska fundamentalistična skupina."
Dojenje prinaša številne koristi.,193,not_entailment,Le 14 odstotkov ameriških mater otroka med priporočenim minimumom šestih mesecev izključno doji.
Estonia je izplula iz Talina.,194,entailment,"Za stotine družinskih članov, ki tičijo v hotelu nedaleč od stockholmskega trajektnega terminala, kjer naj bi v sredo zjutraj po nočni vožnji iz estonske prestolnice Talin pristala ladja Estonia, je bilo preloženo reševanje le zadnje v vrsti srceparajočih poročil."
Švedski premier umorjen.,195,not_entailment,Švedski minister za zunanje zadeve umorjen.
Jedrska elektrarna Sosnovi Bor doživela zaustavitev v sili.,196,not_entailment,Zaradi uhajanja sevanja na jedrski elektrarni v Yeonggwangu v provinci Južna Jeolla so pristojni včeraj elektrarno zaprli.
"Leta 1611 sta se kralj in njegov dvor končno preselisa iz Krakova (Krakow) v Varšavo, ki je tako postala prestolnica dežele Poljske.",197,not_entailment,"Leta 1596 se je poljski kralj odločil, da bo prestolnico premaknil iz Krakova v Varšavo in Varšavo tako naredil za najpomembnejše mesto na Poljskem."
"Delbert Ward je oblastem povedal, da je zadavil svojega brata.",198,not_entailment,"Deželni policijski preiskovalci so na preliminarnem zaslišanju pričali, da jim je Delbert povedal, da je bila smrt 64-letnega Billyja uboj iz usmiljenja."
Dve skupini za ohranjanje sta povečali populacijo črnega nosoroga.,199,not_entailment,"po podatkih skupne raziskave dveh skupin za ohranjanje, Svetovna zveza za ohranitev narave in Svetovni sklad za naravo, se je populacija črnega nosoroga povečala nad 3.600 živali. V zadnjih dveh letih se je tako povečala za 500 živali."
Legalizacija drog prinaša koristi.,200,not_entailment,"Naloga obravnava marihuano, krek/kokain, sredstva za pomiritev, halucinogene snovi, amfetamine, heroin, alkohol, nikotin in kafein, s čimer želi postaviti okvir za avtorjevo tezo, da legalizacije drog nikakor ne moremo označiti kot etično ali moralno."
Izbruh epidemije ebole v Zairu.,201,not_entailment,"Edinstvena značilnost prejšnih izbruhov ebole je bila ta, da je bolezen otrokom relativno prizanesla. Prvič je do izbruha nenavadne bolezni - hemoragične mrzlice ebola - prišlo v severni Ugandi, v okrožju Gulu."
65 držav se udeležuje olimpijskih iger v Lillehammerju.,202,entailment,"Organizacijski komite je povedal, da je k olimpijskim igram v Lillehammerju pristopilo 65 držav, prav toliko, kot jih je bilo na zimskih olimpijskih igrah leta 1992 v Albertvillu v Franciji."
Philip Morris je povečal tržišče v Rusiji.,203,entailment,"Philip Morris je največjo količinsko rast navedel v Nemčiji, Italiji, Franciji, Španiji, srednji in vzhodni Evropi, Rusiji, na Bližnjem Vzhodu, v Japonski, Koreji, Argentini in Braziliji."
Pri potopu trajekta je življenje izgubilo 100 ali več ljudi.,204,not_entailment,V uničujočih poplavah v mestu Johnstown je življenje izgubilo več kot 2.000 ljudi.
Lov na tjulnje ogroža vrsto.,205,not_entailment,"Za razliko od lova na tjulnje v Kanadi, kjer mladiče lovijo za krzno, lovci na Kitajskem tjulnje lovijo predvsem, da jih prodajo v živalske vrtove ali njihove genitalije uporabijo v tradicionalni kitajski medicini."
Turki si želijo Güla za predsednika.,206,not_entailment,"V odziv na trajajočo negotovost je evropski komisar za širitev opozoril turško vojsko glede vmešavanja: »Pomembno je, da vojska prepussti pristojnosti demokracije demokratsko izvoljeni vladi in to je testni primer tega, ali turške obrambne sile spoštujejo demokratični sekularizem in demokratično uredbo civilno-vojaških odnosov,« je povedal komisar Olli Rehn. Erdogan in Gül podpirata turška prizadevanja za priključitev Evropski uniji."
"McDonald's Corp., največja veriga restavracij na svetu, je povedla, ko je podjetje poročalo o zaslužkih, ki so presegli ocene.",207,not_entailment,"McDonald's je poročal, da se je globalna prodaja v njihovih restavracijah junija povečala za 6,2 %, v drugi četrtini za 6,3 % in za 7,1 % v letu doslej."
Scottova usmrtitev je povzročila Wolseleyjevo ekspedicijo.,208,entailment,"Scottova usmrtitev je privedla do zgražanja v Ontariu in je bila glavni pobudnik Wolseleyjeve ekspedicije, ki je Louisa Riela, sedaj označenega za morilca, prisilila, da pobegne iz naselja."
koalicijo koordinirajo ZDA.,209,entailment,"Avstralija je bila ena od držav v koaliciji pod vodstvom ZDA, ki je leta 2003 vdrla v Irak."
Peržane je napisal Ajshil.,210,entailment,"Ajshilu mnogokrat rečemo oče grške tragedije; napisal je najzgodnejše celotne tragedije, ki so se ohranile iz antične Grčije. Napisal naj bi več kot 90 tragedij, čeprav se jih je ohranilo le sedem. Med njimi je najbolj znana trilogija Oresteja. Prav tako znani so Peržani in Vklenjeni Prometej."
El-Našar je bil aretiran v Egiptu.,211,entailment,"El-Našar je bil 14. julija pridržan v Kairu po tem, ko so Britanci obvestili egipčanske oblasti, da sumijo, da ima morda povezave z nekaterimi napadalci."
Jaime Pardo Leal je bil ubit v Moskvi.,212,not_entailment,"Moskva (ZSSR), 12. julij 89 (PRAVDA)- V Kolumbiji teče kri; tam je bilo lani po uradnih statistikah 4.600 žrtev političnega nasilja, med njimi tudi Jaime Pardo Leal (predsednik kolumbijskega državnega odbora za usklajevanje), okrog 30 poslancev ter mnogi občinski svetovalci in župani."
Domači požari so pogost razlog nenačrtne poškodbe na domu.,213,entailment,"Domače nesreče s požari imajo pomemben vpliv na zdravje prebivalstva, saj prispevajo k zgodnji smrti, resnim nesrečam, v katerih pogosto pride do iznakaženj, in trajne invalidnosti. Z ognjem povezane poškodbe so vodilni razlog nenačrtnih poškodb na domu v vseh starostnih skupinah."
Poplavljanje v Evropi povzroča resne gospodarske izgube.,214,entailment,Katastrofalne poplave v Evropi ogrožajo življenja ter povzročajo človeške nesreče in ogromne gospodarske izgube.
Time Warner Cable je partner Sprint Nextel.,215,entailment,"Štiri ameriška kabelska podjetja, vključno s panožnima voditeljema Comcast Corp in Time Warner Cable, so vstopila na hitro rastoči trg brezžičnih tehnologij preko skupnga podjetja s Sprint Nextel."
"Analitiki so povedali, da g. Abbas potrebuje zmago z veliko razliko, če želi uveljaviti svojo agendo mirovnih pogovorov z Izraelom.",216,entailment,"Strokovnjaki menijo, da bo g. Abbas potreboval precejšnjo zmago, da bo pokazal, da ima podporo večine Palestincev in tako uveljavil svoje cilje mirovnih pogovorov z Izraelom."
Xochimilco je priljubljena turistična atrakcija zaradi chinampas oziroma plavajočih vrtov.,217,entailment,"Na jugovzhodni konici mesta je Xochimilco, še eno majhno mesto, ki ga je požrlo večje, priljubljena turistična točka zaradi chinampas oziroma »plavajočih vrtov«, iz trsja spletenih čolnov, na katerih indijanci gojijo rastline že od predkolumbijskih časov."
Zerich je med embargom kupil nafto iz Iraka.,218,not_entailment,Po navedbah Volckerjeve komisije je Zerich iz Iraka skupno nakupil nafto v vrednosti 422 milijonov dolarjev. Po propadu Sovjetske zveze je v zgodnjih devetdesetih Rich hitro postal najmočnejši tamkajšnji trgovec.
Everglades je širok 50 milj.,219,entailment,"Od vseh narodnih parkov v Združenih državah ni noben bližje velikemu urbanemu območju ali ima več težav kot Everglades, plitka, 50 milj široka reka trave, ki teče južno od jezera Okeechobee do Floridskega zaliva. Več kot generacijo je ta krhki naravni čudež žrtev v mreži posebnih interesov – kmetov, športnikov in približno 6 milijonov prebivalcev Južne Floride, ki potrebujejo pitno vodo in nadzor nad poplavami –, ki je prav tako zapletena kot sam ekosistem."
Gazi al-Javar je novi iraški predsednik.,220,entailment,"Paul Bremer, vodja ameriške civilne uprave v Iraku, in novi iraški predsednik Ghazi al-Yawar sta obiskala mesto Kirkuk na severu države."
Tajfun razdejal Filipine.,221,not_entailment,"Uradniki in državni mediji so poročali, da je bil tajfun Xangsane v nedeljo degradiran v tropsko nevihto, ko se je premaknil v notranjost države z osrednje vietnamske obale, kjer je ubil dva človeka, poškodoval najmanj 80 ljudi in povzročil škodo na stotinah domov."
"Včeraj je uradna preiskava potrdila, da Izrael zaradi pomanjkanja dokazov ne bo preganjal policije, ki je ubila 13 izraelskih Arabcev med propalestinskimi protesti leta 2000.",222,not_entailment,Izraelska sodna preiskava je izključila preganjanje policistov ki so med nasilnimi demonstracijami leta 2000 do smrti ustrelili 13 izraelskih Arabcev.
Christie's je ena največjih dražbenih hiš na svetu.,223,entailment,"Sotheby's in Christie's, sve najvplivnejši dražbeni hiši na svetu, sta si izmenjali zaupne sezname megabogatih strank, ki jim ni bilo treba plačevati stroškov, zaračunanih drugim prodajalcem, so povedali viri blizu podjetjema in federalni konkurenčni preiskavi, ki ju je zadevala."
Dean je izumil revolver.,224,not_entailment,"James Kerr je bil delovodja v tovarni orožja Deane, Adams and Deane. Robert Adams, eden izmed partnerjev in izumitelj Adamsovega revolverja, je bil Kerrov bratranec."
V vseh nemškogovorečih državah so potrdili pravopisno reformo.,225,entailment,"Obe strani imata prav. Nemški pravopis je potreben prenove: v teku desetletij je postal preveč tog. A reforma, ki so jo leta 1996 potrdile nemškogovoreče države, pravil ne olajša veliko in v nekaterih primerih je novi način še težji."
Brazilski predsednik je Luiz Inácio Lula da Silva.,226,entailment,"Po podatkih članov brazilskega sodišča bo proti predsedniku Luizu Ináciu Luli da Silvi morda sprožen obtožni postopek, če obstajajo dokazi, da je res vpleten v nekatere izmed domnevnih škandalov, ali če lahko kdo dokaže, da je ravnal malomarno."
Regina Shueller dela za italijanski časnik La Repubblica.,227,not_entailment,"Tiskovna predstavnica ECB Regina Schueller ni želela komentirati poročila v italijanskem časniku La Repubblica, ki je trdil, da bo svet ECB na sestanku 15. septembra obravnaval vlogo g. Fazia v boju za prevzem."
Oblaki z veliko hitrostjo so sestavljeni iz vodika.,228,entailment,"Med dokaze za trajajoče kopičenje plina ob Mlečni cesti spadajo oblaki z veliko hitrostjo (HVC) – skrivnostni skupki vodika, ki se hitro premikajo po obrobjih galaksije."
Pred mošejo je eksplodirala bomba.,229,entailment,"V petek zvečer je pred šiitsko mošejo v Iskandariji, ki leži 40 kilometrov južno od prestolnice, eksplodiral avtomobil bomba, pri čemer je ubil sedem ljudi, 10 pa jih je ranil, so povedali zdravniki, ki želijo ostati anonimni."
Škotski muzej je vrnil sujsko srajco duhov.,230,entailment,"Srajco duhov je nato leta indijanski tolmač podaril muzeju v Glasgowu, kjer je bila 100 let turistična atrakcija. Ko so potomci sujskega plemena leta 1995 sprožili peticijo za njeno vrnitev, je postala predmet spora o lastništvu. Društvo preživelih Ranjenega kolena, vključno s starosto plemena Lakota, je doseglo, da se srajca vrne plemenu."
Jemen je bil ponovno združen leta 1990.,231,entailment,Tudi Jemen je bil ponovno združen leta 1990.
